Date,"""Weird_Al""_Yankovic_en.wikipedia.org_desktop_all-agents",100_metres_en.wikipedia.org_desktop_all-agents,10_Gigabit_Ethernet_en.wikipedia.org_desktop_all-agents,1551_en.wikipedia.org_desktop_all-agents,1896_Summer_Olympics_en.wikipedia.org_desktop_all-agents,1918_flu_pandemic_en.wikipedia.org_desktop_all-agents,1936_Summer_Olympics_en.wikipedia.org_desktop_all-agents,1976_Summer_Olympics_en.wikipedia.org_desktop_all-agents,1980_Summer_Olympics_en.wikipedia.org_desktop_all-agents,1984_Summer_Olympics_en.wikipedia.org_desktop_all-agents,1989_(Taylor_Swift_album)_en.wikipedia.org_desktop_all-agents,1999_(Prince_album)_en.wikipedia.org_desktop_all-agents,2000_Summer_Olympics_en.wikipedia.org_desktop_all-agents,2002_FIFA_World_Cup_en.wikipedia.org_desktop_all-agents,2003_invasion_of_Iraq_en.wikipedia.org_desktop_all-agents,2007_tuberculosis_scare_en.wikipedia.org_desktop_all-agents,2008_Summer_Olympics_en.wikipedia.org_desktop_all-agents,2008_Summer_Olympics_medal_table_en.wikipedia.org_desktop_all-agents,2012_Benghazi_attack_en.wikipedia.org_desktop_all-agents,2012_Summer_Olympics_en.wikipedia.org_desktop_all-agents,2012_Summer_Olympics_medal_table_en.wikipedia.org_desktop_all-agents,2014_FIFA_World_Cup_en.wikipedia.org_desktop_all-agents,2015_NCAA_Men's_Division_I_Basketball_Tournament_en.wikipedia.org_desktop_all-agents,2015_in_film_en.wikipedia.org_desktop_all-agents,2016_Asia_Cup_en.wikipedia.org_desktop_all-agents,2016_Democratic_National_Convention_en.wikipedia.org_desktop_all-agents,2016_European_Men's_Handball_Championship_en.wikipedia.org_desktop_all-agents,2016_FIFA_Club_World_Cup_en.wikipedia.org_desktop_all-agents,2016_FIFA_Futsal_World_Cup_en.wikipedia.org_desktop_all-agents,2016_Giro_d'Italia_en.wikipedia.org_desktop_all-agents,2016_ICC_World_Twenty20_en.wikipedia.org_desktop_all-agents,2016_IIHF_World_Championship_en.wikipedia.org_desktop_all-agents,2016_Indian_Premier_League_en.wikipedia.org_desktop_all-agents,2016_NBA_All-Star_Game_en.wikipedia.org_desktop_all-agents,2016_NFL_Draft_en.wikipedia.org_desktop_all-agents,2016_NHL_Entry_Draft_en.wikipedia.org_desktop_all-agents,2016_Republican_National_Convention_en.wikipedia.org_desktop_all-agents,2016_Summer_Olympics_closing_ceremony_en.wikipedia.org_desktop_all-agents,2016_Summer_Olympics_medal_table_en.wikipedia.org_desktop_all-agents,2016_Summer_Olympics_opening_ceremony_en.wikipedia.org_desktop_all-agents,2016_Summer_Paralympics_en.wikipedia.org_desktop_all-agents,2016_Thomas_&_Uber_Cup_en.wikipedia.org_desktop_all-agents,2016_Tour_de_France_en.wikipedia.org_desktop_all-agents,2016_UEFA_Europa_League_Final_en.wikipedia.org_desktop_all-agents,2016_United_States_men's_Olympic_basketball_team_en.wikipedia.org_desktop_all-agents,2016_World_Cup_of_Hockey_en.wikipedia.org_desktop_all-agents,2017_FIFA_Confederations_Cup_en.wikipedia.org_desktop_all-agents,2017_NBA_All-Star_Game_en.wikipedia.org_desktop_all-agents,2018_FIFA_World_Cup_qualification_en.wikipedia.org_desktop_all-agents,2018_FIFA_World_Cup_qualification_(CONMEBOL)_en.wikipedia.org_desktop_all-agents,2018_FIFA_World_Cup_qualification_(UEFA)_en.wikipedia.org_desktop_all-agents,2018_Winter_Olympics_en.wikipedia.org_desktop_all-agents,2020_Summer_Olympics_en.wikipedia.org_desktop_all-agents,2022_Winter_Olympics_en.wikipedia.org_desktop_all-agents,2024_Summer_Olympics_en.wikipedia.org_desktop_all-agents,2028_Summer_Olympics_en.wikipedia.org_desktop_all-agents,3_Doors_Down_en.wikipedia.org_desktop_all-agents,4K_resolution_en.wikipedia.org_desktop_all-agents,58th_Annual_Grammy_Awards_en.wikipedia.org_desktop_all-agents,88th_Academy_Awards_en.wikipedia.org_desktop_all-agents,A.C._Milan_en.wikipedia.org_desktop_all-agents,A.J._Styles_en.wikipedia.org_desktop_all-agents,AC/DC_en.wikipedia.org_desktop_all-agents,AK-47_en.wikipedia.org_desktop_all-agents,AMGTV_en.wikipedia.org_desktop_all-agents,AR-15_en.wikipedia.org_desktop_all-agents,A_Monster_Calls_(film)_en.wikipedia.org_desktop_all-agents,A_Series_of_Unfortunate_Events_en.wikipedia.org_desktop_all-agents,A_Song_of_Ice_and_Fire_en.wikipedia.org_desktop_all-agents,Aamir_Khan_en.wikipedia.org_desktop_all-agents,Aaron_Lewis_en.wikipedia.org_desktop_all-agents,Aberfan_disaster_en.wikipedia.org_desktop_all-agents,Academy_Award_for_Best_Actor_en.wikipedia.org_desktop_all-agents,Academy_Award_for_Best_Picture_en.wikipedia.org_desktop_all-agents,Adam_Johnson_(footballer)_en.wikipedia.org_desktop_all-agents,Adam_Levine_en.wikipedia.org_desktop_all-agents,Adele_en.wikipedia.org_desktop_all-agents,Adewale_Akinnuoye-Agbaje_en.wikipedia.org_desktop_all-agents,Adobe_Photoshop_en.wikipedia.org_desktop_all-agents,Adolf_Hitler_en.wikipedia.org_desktop_all-agents,Agent_Carter_(season_2)_en.wikipedia.org_desktop_all-agents,Agents_of_S.H.I.E.L.D._en.wikipedia.org_desktop_all-agents,Agile_software_development_en.wikipedia.org_desktop_all-agents,Ahrar_ash-Sham_en.wikipedia.org_desktop_all-agents,Airlift_(film)_en.wikipedia.org_desktop_all-agents,Akshay_Kumar_en.wikipedia.org_desktop_all-agents,Aladdin_Sane_en.wikipedia.org_desktop_all-agents,Alan_Colmes_en.wikipedia.org_desktop_all-agents,Alan_Thicke_en.wikipedia.org_desktop_all-agents,Alan_Tudyk_en.wikipedia.org_desktop_all-agents,Alaska_en.wikipedia.org_desktop_all-agents,"Albert,_Prince_Consort_en.wikipedia.org_desktop_all-agents",Albert_Einstein_en.wikipedia.org_desktop_all-agents,Albus_Dumbledore_en.wikipedia.org_desktop_all-agents,Alex_(parrot)_en.wikipedia.org_desktop_all-agents,Alex_Jones_(radio_host)_en.wikipedia.org_desktop_all-agents,Alexander_I_of_Russia_en.wikipedia.org_desktop_all-agents,Alexandre_Pato_en.wikipedia.org_desktop_all-agents,Alexis_Arquette_en.wikipedia.org_desktop_all-agents,Alexis_Ohanian_en.wikipedia.org_desktop_all-agents
2015-07-01,2403,982,1078,11,366,868,714,511,414,594,4768,249,691,2521,1153,31,932,155,1683,2352,819,7798,353,28511,90,508,119,507,198,25,1010,121,45,234,6,1537,409,29,5,108,142,11,197,294,109,63,2468,60,2530,561,613,903,1931,903,1734,636,701,3413,10,235,6031,897,8511,3402,40,1753,346,912,9554,2558,386,128,1450,3077,200,3742,2864,1536,2513,11684,26,5698,5718,279,452,2536,369,163,657,857,4590,933,8398,871,299,1383,596,1111,616,253
2015-07-02,20136,881,1116,9,392,877,616,648,430,518,4346,297,622,2240,1055,38,925,152,1026,2396,771,6562,312,27969,78,562,97,392,333,16,950,80,49,220,14,1149,371,29,6,106,102,5,190,232,96,39,1478,69,2094,362,531,764,1592,826,1387,366,759,3191,8,328,12523,1219,9632,2975,55,1603,337,855,9147,2649,364,135,1380,3157,189,3667,2914,1466,2535,9328,14,5549,5235,373,412,2482,349,170,884,877,3545,902,8600,830,288,966,532,836,468,288
2015-07-03,1850,794,869,19,322,688,506,431,368,441,4251,233,490,1832,987,26,877,142,875,2094,658,4748,213,27097,98,464,80,368,207,31,923,77,33,172,7,526,278,20,7,94,133,15,237,143,76,59,1433,68,1843,323,502,554,1273,680,1174,352,698,2955,13,231,13051,1017,8157,2805,42,1736,339,761,7235,2806,333,130,1356,2726,234,3572,2695,1399,2318,28453,16,4926,3509,321,407,2443,328,118,738,710,3294,788,7474,896,282,865,407,846,416,10696
2015-07-04,1432,979,327,26,313,623,504,387,365,425,3815,224,514,1867,880,9,720,129,745,1691,707,5789,302,25657,78,361,105,297,148,41,856,71,57,167,5,394,268,25,8,99,92,12,521,101,95,77,3612,61,2241,596,565,576,1422,629,1116,373,653,2321,22,275,6573,1084,6093,2315,40,1335,286,645,6426,2561,329,124,1413,3275,186,3420,2568,1199,1857,19393,4,4882,1718,303,440,2432,361,186,453,691,2885,892,5900,1185,281,812,409,648,425,5672
2015-07-05,1351,1191,312,16,340,604,579,386,411,409,3970,215,564,2441,885,21,826,118,1039,2213,631,8394,215,28155,50,332,107,471,155,44,860,58,49,195,11,278,255,27,5,64,99,11,521,98,101,59,7165,57,2591,711,690,677,1797,853,1295,451,604,2435,6,314,5398,1402,6493,2661,29,1399,427,2543,7307,2631,305,115,1507,3379,167,3475,2959,1251,1754,7502,19,5538,2149,265,481,2588,331,133,547,687,3180,940,6835,878,297,863,541,719,585,2435
2015-07-06,1792,1057,1123,45,447,823,695,535,504,631,4283,264,837,3151,1100,17,1268,157,1213,3592,871,12192,275,34236,96,483,100,789,258,46,1245,128,52,256,8,472,374,40,7,114,120,13,666,129,171,76,4534,45,3496,715,805,1330,3013,1496,2402,713,756,3516,7,318,7689,1357,7740,4156,62,1676,388,34359,9832,2803,409,173,1885,4471,208,3527,3631,1668,2297,9482,18,6499,5703,237,555,2859,425,140,536,840,3804,1078,8387,955,260,1104,541,729,555,2999
2015-07-07,1710,1184,1124,33,484,794,751,532,483,668,4226,259,737,2293,1346,20,1091,145,1097,3125,785,7554,357,29132,87,553,83,557,157,51,1259,113,65,309,19,444,342,24,6,114,187,14,589,146,111,92,3274,104,2881,574,747,909,1996,1078,1792,572,752,3698,14,301,7146,1060,7051,3582,94,1576,385,11794,9219,2960,391,261,1721,4300,196,4413,3569,1234,2363,9304,22,5890,6100,236,549,2712,435,126,532,832,3907,982,8062,1078,359,1522,633,1246,556,2494
2015-07-08,2039,860,1149,27,375,897,723,552,585,796,4399,215,727,2164,1115,95,974,142,1343,2528,1020,9155,314,27034,125,622,83,471,187,39,1324,108,69,261,11,321,401,23,5,97,139,6,564,133,104,45,4135,114,2930,479,652,893,2039,1074,2172,634,753,3708,9,315,6508,938,6092,2666,44,1534,370,3362,8204,2867,554,203,1707,3593,252,3788,3176,1157,2508,9245,19,5911,5873,295,464,2626,379,253,492,863,3906,861,8777,882,287,1290,686,987,570,1195
2015-07-09,1957,1259,1128,17,402,747,743,554,477,588,6294,234,710,1984,1046,249,968,154,1312,2355,757,6736,262,27542,70,727,91,389,204,37,2222,106,105,285,10,306,447,28,4,109,142,8,504,192,107,36,2183,103,5831,683,4206,781,1900,940,1589,495,674,3619,9,347,5849,1004,14127,2524,60,1470,395,3542,7920,2859,495,149,1562,3526,223,4724,3450,1216,2328,9036,15,5608,5924,385,527,2686,427,183,573,1048,3583,1150,7745,949,318,1305,595,918,525,918
2015-07-10,1640,1257,1003,37,379,659,641,571,518,653,4681,199,667,1753,1018,22,950,145,937,2471,847,5539,275,27525,77,472,92,388,210,37,1978,77,68,252,10,252,419,37,13,89,152,21,456,169,102,53,1938,92,3441,494,1843,772,1945,877,1674,468,695,3401,17,271,5643,822,7072,2408,53,1458,399,2736,6717,2745,464,126,1583,3375,256,3981,3280,1256,2044,9467,11,5267,4863,179,577,2464,406,138,469,2201,3584,981,6913,1121,307,1109,479,1629,499,3896
2015-07-11,1263,745,359,19,310,611,578,500,368,468,3855,176,565,1496,901,13,909,141,758,2083,847,4633,197,27064,87,269,89,346,168,31,1697,67,55,181,5,184,260,40,12,117,121,2,418,114,88,36,1561,69,2268,352,905,743,1511,927,1596,581,607,2511,7,257,6223,714,4586,2149,37,1312,321,2718,6318,2650,308,249,1474,2902,236,3642,2904,1568,1742,8013,15,5857,2144,274,537,2459,368,124,389,1646,2623,871,5762,975,237,1053,399,1090,510,6265
2015-07-12,1373,657,341,13,349,696,631,477,455,532,4121,223,736,1490,931,28,1096,156,889,2398,870,4244,189,28575,103,372,59,307,200,25,2100,64,51,166,6,151,330,42,7,67,120,11,471,117,117,41,1301,81,1782,281,705,693,1502,799,1375,440,616,2460,7,285,5309,812,4519,2231,46,1305,497,1617,7111,2506,4526,160,1570,3428,212,3399,2817,4297,1706,8237,13,6611,2298,274,445,2172,386,100,425,1587,2877,943,6647,939,365,1004,448,1407,446,2261
2015-07-13,1625,864,1086,29,338,896,662,525,442,948,4280,266,673,1625,1120,48,1126,259,1114,2619,1261,5339,315,31674,131,602,137,385,171,25,2739,82,67,278,3,216,497,35,5,100,131,8,338,119,148,59,1718,89,2452,309,823,957,1891,1133,1670,512,790,3592,10,337,6391,800,5331,2642,38,1819,448,1709,8515,3318,1881,284,1966,4011,354,3763,3088,13101,2334,9505,20,7200,5901,295,616,2539,442,146,464,1922,3548,1007,8093,1004,389,1388,537,1353,630,3268
