"""Weird_Al""_Yankovic_en.wikipedia.org_desktop_all-agents",100_metres_en.wikipedia.org_desktop_all-agents,10_Gigabit_Ethernet_en.wikipedia.org_desktop_all-agents,1551_en.wikipedia.org_desktop_all-agents,1896_Summer_Olympics_en.wikipedia.org_desktop_all-agents,1918_flu_pandemic_en.wikipedia.org_desktop_all-agents,1936_Summer_Olympics_en.wikipedia.org_desktop_all-agents,1976_Summer_Olympics_en.wikipedia.org_desktop_all-agents,1980_Summer_Olympics_en.wikipedia.org_desktop_all-agents,1984_Summer_Olympics_en.wikipedia.org_desktop_all-agents,1989_(Taylor_Swift_album)_en.wikipedia.org_desktop_all-agents,1999_(Prince_album)_en.wikipedia.org_desktop_all-agents,2000_Summer_Olympics_en.wikipedia.org_desktop_all-agents,2002_FIFA_World_Cup_en.wikipedia.org_desktop_all-agents,2003_invasion_of_Iraq_en.wikipedia.org_desktop_all-agents,2007_tuberculosis_scare_en.wikipedia.org_desktop_all-agents,2008_Summer_Olympics_en.wikipedia.org_desktop_all-agents,2008_Summer_Olympics_medal_table_en.wikipedia.org_desktop_all-agents,2012_Benghazi_attack_en.wikipedia.org_desktop_all-agents,2012_Summer_Olympics_en.wikipedia.org_desktop_all-agents,2012_Summer_Olympics_medal_table_en.wikipedia.org_desktop_all-agents,2014_FIFA_World_Cup_en.wikipedia.org_desktop_all-agents,2015_NCAA_Men's_Division_I_Basketball_Tournament_en.wikipedia.org_desktop_all-agents,2015_in_film_en.wikipedia.org_desktop_all-agents,2016_Asia_Cup_en.wikipedia.org_desktop_all-agents,2016_Democratic_National_Convention_en.wikipedia.org_desktop_all-agents,2016_European_Men's_Handball_Championship_en.wikipedia.org_desktop_all-agents,2016_FIFA_Club_World_Cup_en.wikipedia.org_desktop_all-agents,2016_FIFA_Futsal_World_Cup_en.wikipedia.org_desktop_all-agents,2016_Giro_d'Italia_en.wikipedia.org_desktop_all-agents,2016_ICC_World_Twenty20_en.wikipedia.org_desktop_all-agents,2016_IIHF_World_Championship_en.wikipedia.org_desktop_all-agents,2016_Indian_Premier_League_en.wikipedia.org_desktop_all-agents,2016_NBA_All-Star_Game_en.wikipedia.org_desktop_all-agents,2016_NFL_Draft_en.wikipedia.org_desktop_all-agents,2016_NHL_Entry_Draft_en.wikipedia.org_desktop_all-agents,2016_Republican_National_Convention_en.wikipedia.org_desktop_all-agents,2016_Summer_Olympics_closing_ceremony_en.wikipedia.org_desktop_all-agents,2016_Summer_Olympics_medal_table_en.wikipedia.org_desktop_all-agents,2016_Summer_Olympics_opening_ceremony_en.wikipedia.org_desktop_all-agents,2016_Summer_Paralympics_en.wikipedia.org_desktop_all-agents,2016_Thomas_&_Uber_Cup_en.wikipedia.org_desktop_all-agents,2016_Tour_de_France_en.wikipedia.org_desktop_all-agents,2016_UEFA_Europa_League_Final_en.wikipedia.org_desktop_all-agents,2016_United_States_men's_Olympic_basketball_team_en.wikipedia.org_desktop_all-agents,2016_World_Cup_of_Hockey_en.wikipedia.org_desktop_all-agents,2017_FIFA_Confederations_Cup_en.wikipedia.org_desktop_all-agents,2017_NBA_All-Star_Game_en.wikipedia.org_desktop_all-agents,2018_FIFA_World_Cup_qualification_en.wikipedia.org_desktop_all-agents,2018_FIFA_World_Cup_qualification_(CONMEBOL)_en.wikipedia.org_desktop_all-agents,2018_FIFA_World_Cup_qualification_(UEFA)_en.wikipedia.org_desktop_all-agents,2018_Winter_Olympics_en.wikipedia.org_desktop_all-agents,2020_Summer_Olympics_en.wikipedia.org_desktop_all-agents,2022_Winter_Olympics_en.wikipedia.org_desktop_all-agents,2024_Summer_Olympics_en.wikipedia.org_desktop_all-agents,2028_Summer_Olympics_en.wikipedia.org_desktop_all-agents,3_Doors_Down_en.wikipedia.org_desktop_all-agents,4K_resolution_en.wikipedia.org_desktop_all-agents,58th_Annual_Grammy_Awards_en.wikipedia.org_desktop_all-agents,88th_Academy_Awards_en.wikipedia.org_desktop_all-agents,A.C._Milan_en.wikipedia.org_desktop_all-agents,A.J._Styles_en.wikipedia.org_desktop_all-agents,AC/DC_en.wikipedia.org_desktop_all-agents,AK-47_en.wikipedia.org_desktop_all-agents,AMGTV_en.wikipedia.org_desktop_all-agents,AR-15_en.wikipedia.org_desktop_all-agents,A_Monster_Calls_(film)_en.wikipedia.org_desktop_all-agents,A_Series_of_Unfortunate_Events_en.wikipedia.org_desktop_all-agents,A_Song_of_Ice_and_Fire_en.wikipedia.org_desktop_all-agents,Aamir_Khan_en.wikipedia.org_desktop_all-agents,Aaron_Lewis_en.wikipedia.org_desktop_all-agents,Aberfan_disaster_en.wikipedia.org_desktop_all-agents,Academy_Award_for_Best_Actor_en.wikipedia.org_desktop_all-agents,Academy_Award_for_Best_Picture_en.wikipedia.org_desktop_all-agents,Adam_Johnson_(footballer)_en.wikipedia.org_desktop_all-agents,Adam_Levine_en.wikipedia.org_desktop_all-agents,Adele_en.wikipedia.org_desktop_all-agents,Adewale_Akinnuoye-Agbaje_en.wikipedia.org_desktop_all-agents,Adobe_Photoshop_en.wikipedia.org_desktop_all-agents,Adolf_Hitler_en.wikipedia.org_desktop_all-agents,Agent_Carter_(season_2)_en.wikipedia.org_desktop_all-agents,Agents_of_S.H.I.E.L.D._en.wikipedia.org_desktop_all-agents,Agile_software_development_en.wikipedia.org_desktop_all-agents,Ahrar_ash-Sham_en.wikipedia.org_desktop_all-agents,Airlift_(film)_en.wikipedia.org_desktop_all-agents,Akshay_Kumar_en.wikipedia.org_desktop_all-agents,Aladdin_Sane_en.wikipedia.org_desktop_all-agents,Alan_Colmes_en.wikipedia.org_desktop_all-agents,Alan_Thicke_en.wikipedia.org_desktop_all-agents,Alan_Tudyk_en.wikipedia.org_desktop_all-agents,Alaska_en.wikipedia.org_desktop_all-agents,"Albert,_Prince_Consort_en.wikipedia.org_desktop_all-agents",Albert_Einstein_en.wikipedia.org_desktop_all-agents,Albus_Dumbledore_en.wikipedia.org_desktop_all-agents,Alex_(parrot)_en.wikipedia.org_desktop_all-agents,Alex_Jones_(radio_host)_en.wikipedia.org_desktop_all-agents,Alexander_I_of_Russia_en.wikipedia.org_desktop_all-agents,Alexandre_Pato_en.wikipedia.org_desktop_all-agents,Alexis_Arquette_en.wikipedia.org_desktop_all-agents,Alexis_Ohanian_en.wikipedia.org_desktop_all-agents
2403.0,982.0,1078.0,11.0,366.0,868.0,714.0,511.0,414.0,594.0,4768.0,249.0,691.0,2521.0,1153.0,31.0,932.0,155.0,1683.0,2352.0,819.0,7798.0,353.0,28511.0,90.0,508.0,119.0,507.0,198.0,25.0,1010.0,121.0,45.0,234.0,6.0,1537.0,409.0,29.0,5.0,108.0,142.0,11.0,197.0,294.0,109.0,63.0,2468.0,60.0,2530.0,561.0,613.0,903.0,1931.0,903.0,1734.0,636.0,701.0,3413.0,10.0,235.0,6031.0,897.0,8511.0,3402.0,40.0,1753.0,346.0,912.0,9554.0,2558.0,386.0,128.0,1450.0,3077.0,200.0,3742.0,2864.0,1536.0,2513.0,11684.0,26.0,5698.0,5718.0,279.0,452.0,2536.0,369.0,163.0,657.0,857.0,4590.0,933.0,8398.0,871.0,299.0,1383.0,596.0,1111.0,616.0,253.0
6836.25,956.75,1087.5,10.5,372.5,870.25,689.5,545.25,418.0,575.0,4662.5,261.0,673.75,2450.75,1128.5,32.75,930.25,154.25,1518.75,2363.0,807.0,7489.0,342.75,28375.5,87.0,521.5,113.5,478.25,231.75,22.75,995.0,110.75,46.0,230.5,8.0,1440.0,399.5,29.0,5.25,107.5,132.0,9.5,195.25,278.5,105.75,57.0,2220.5,62.25,2421.0,511.25,592.5,868.25,1846.25,883.75,1647.25,568.5,715.5,3357.5,9.5,258.25,7654.0,977.5,8791.25,3295.25,43.75,1715.5,343.75,897.75,9452.25,2580.75,380.5,129.75,1432.5,3097.0,197.25,3723.25,2876.5,1518.5,2518.5,11095.0,23.0,5660.75,5597.25,302.5,442.0,2522.5,364.0,164.75,713.75,862.0,4328.75,925.25,8448.5,860.75,296.25,1278.75,580.0,1042.25,579.0,261.75
11269.5,931.5,1097.0,10.0,379.0,872.5,665.0,579.5,422.0,556.0,4557.0,273.0,656.5,2380.5,1104.0,34.5,928.5,153.5,1354.5,2374.0,795.0,7180.0,332.5,28240.0,84.0,535.0,108.0,449.5,265.5,20.5,980.0,100.5,47.0,227.0,10.0,1343.0,390.0,29.0,5.5,107.0,122.0,8.0,193.5,263.0,102.5,51.0,1973.0,64.5,2312.0,461.5,572.0,833.5,1761.5,864.5,1560.5,501.0,730.0,3302.0,9.0,281.5,9277.0,1058.0,9071.5,3188.5,47.5,1678.0,341.5,883.5,9350.5,2603.5,375.0,131.5,1415.0,3117.0,194.5,3704.5,2889.0,1501.0,2524.0,10506.0,20.0,5623.5,5476.5,326.0,432.0,2509.0,359.0,166.5,770.5,867.0,4067.5,917.5,8499.0,850.5,293.5,1174.5,564.0,973.5,542.0,270.5
15702.75,906.25,1106.5,9.5,385.5,874.75,640.5,613.75,426.0,537.0,4451.5,285.0,639.25,2310.25,1079.5,36.25,926.75,152.75,1190.25,2385.0,783.0,6871.0,322.25,28104.5,81.0,548.5,102.5,420.75,299.25,18.25,965.0,90.25,48.0,223.5,12.0,1246.0,380.5,29.0,5.75,106.5,112.0,6.5,191.75,247.5,99.25,45.0,1725.5,66.75,2203.0,411.75,551.5,798.75,1676.75,845.25,1473.75,433.5,744.5,3246.5,8.5,304.75,10900.0,1138.5,9351.75,3081.75,51.25,1640.5,339.25,869.25,9248.75,2626.25,369.5,133.25,1397.5,3137.0,191.75,3685.75,2901.5,1483.5,2529.5,9917.0,17.0,5586.25,5355.75,349.5,422.0,2495.5,354.0,168.25,827.25,872.0,3806.25,909.75,8549.5,840.25,290.75,1070.25,548.0,904.75,505.0,279.25
20136.0,881.0,1116.0,9.0,392.0,877.0,616.0,648.0,430.0,518.0,4346.0,297.0,622.0,2240.0,1055.0,38.0,925.0,152.0,1026.0,2396.0,771.0,6562.0,312.0,27969.0,78.0,562.0,97.0,392.0,333.0,16.0,950.0,80.0,49.0,220.0,14.0,1149.0,371.0,29.0,6.0,106.0,102.0,5.0,190.0,232.0,96.0,39.0,1478.0,69.0,2094.0,362.0,531.0,764.0,1592.0,826.0,1387.0,366.0,759.0,3191.0,8.0,328.0,12523.0,1219.0,9632.0,2975.0,55.0,1603.0,337.0,855.0,9147.0,2649.0,364.0,135.0,1380.0,3157.0,189.0,3667.0,2914.0,1466.0,2535.0,9328.0,14.0,5549.0,5235.0,373.0,412.0,2482.0,349.0,170.0,884.0,877.0,3545.0,902.0,8600.0,830.0,288.0,966.0,532.0,836.0,468.0,288.0
15564.5,859.25,1054.25,11.5,374.5,829.75,588.5,593.75,414.5,498.75,4322.25,281.0,589.0,2138.0,1038.0,35.0,913.0,149.5,988.25,2320.5,742.75,6108.5,287.25,27751.0,83.0,537.5,92.75,386.0,301.5,19.75,943.25,79.25,45.0,208.0,12.25,993.25,347.75,26.75,6.25,103.0,109.75,7.5,201.75,209.75,91.0,44.0,1466.75,68.75,2031.25,352.25,523.75,711.5,1512.25,789.5,1333.75,362.5,743.75,3132.0,9.25,303.75,12655.0,1168.5,9263.25,2932.5,51.75,1636.25,337.5,831.5,8669.0,2688.25,356.25,133.75,1374.0,3049.25,200.25,3643.25,2859.25,1449.25,2480.75,14109.25,14.5,5393.25,4803.5,360.0,410.75,2472.25,343.75,157.0,847.5,835.25,3482.25,873.5,8318.5,846.5,286.5,940.75,500.75,838.5,455.0,2890.0
10993.0,837.5,992.5,14.0,357.0,782.5,561.0,539.5,399.0,479.5,4298.5,265.0,556.0,2036.0,1021.0,32.0,901.0,147.0,950.5,2245.0,714.5,5655.0,262.5,27533.0,88.0,513.0,88.5,380.0,270.0,23.5,936.5,78.5,41.0,196.0,10.5,837.5,324.5,24.5,6.5,100.0,117.5,10.0,213.5,187.5,86.0,49.0,1455.5,68.5,1968.5,342.5,516.5,659.0,1432.5,753.0,1280.5,359.0,728.5,3073.0,10.5,279.5,12787.0,1118.0,8894.5,2890.0,48.5,1669.5,338.0,808.0,8191.0,2727.5,348.5,132.5,1368.0,2941.5,211.5,3619.5,2804.5,1432.5,2426.5,18890.5,15.0,5237.5,4372.0,347.0,409.5,2462.5,338.5,144.0,811.0,793.5,3419.5,845.0,8037.0,863.0,285.0,915.5,469.5,841.0,442.0,5492.0
6421.5,815.75,930.75,16.5,339.5,735.25,533.5,485.25,383.5,460.25,4274.75,249.0,523.0,1934.0,1004.0,29.0,889.0,144.5,912.75,2169.5,686.25,5201.5,237.75,27315.0,93.0,488.5,84.25,374.0,238.5,27.25,929.75,77.75,37.0,184.0,8.75,681.75,301.25,22.25,6.75,97.0,125.25,12.5,225.25,165.25,81.0,54.0,1444.25,68.25,1905.75,332.75,509.25,606.5,1352.75,716.5,1227.25,355.5,713.25,3014.0,11.75,255.25,12919.0,1067.5,8525.75,2847.5,45.25,1702.75,338.5,784.5,7713.0,2766.75,340.75,131.25,1362.0,2833.75,222.75,3595.75,2749.75,1415.75,2372.25,23671.75,15.5,5081.75,3940.5,334.0,408.25,2452.75,333.25,131.0,774.5,751.75,3356.75,816.5,7755.5,879.5,283.5,890.25,438.25,843.5,429.0,8094.0
1850.0,794.0,869.0,19.0,322.0,688.0,506.0,431.0,368.0,441.0,4251.0,233.0,490.0,1832.0,987.0,26.0,877.0,142.0,875.0,2094.0,658.0,4748.0,213.0,27097.0,98.0,464.0,80.0,368.0,207.0,31.0,923.0,77.0,33.0,172.0,7.0,526.0,278.0,20.0,7.0,94.0,133.0,15.0,237.0,143.0,76.0,59.0,1433.0,68.0,1843.0,323.0,502.0,554.0,1273.0,680.0,1174.0,352.0,698.0,2955.0,13.0,231.0,13051.0,1017.0,8157.0,2805.0,42.0,1736.0,339.0,761.0,7235.0,2806.0,333.0,130.0,1356.0,2726.0,234.0,3572.0,2695.0,1399.0,2318.0,28453.0,16.0,4926.0,3509.0,321.0,407.0,2443.0,328.0,118.0,738.0,710.0,3294.0,788.0,7474.0,896.0,282.0,865.0,407.0,846.0,416.0,10696.0
1745.5,840.25,733.5,20.75,319.75,671.75,505.5,420.0,367.25,437.0,4142.0,230.75,496.0,1840.75,960.25,21.75,837.75,138.75,842.5,1993.25,670.25,5008.25,235.25,26737.0,93.0,438.25,86.25,350.25,192.25,33.5,906.25,75.5,39.0,170.75,6.5,493.0,275.5,21.25,7.25,95.25,122.75,14.25,308.0,132.5,80.75,63.5,1977.75,66.25,1942.5,391.25,517.75,559.5,1310.25,667.25,1159.5,357.25,686.75,2796.5,15.25,242.0,11431.5,1033.75,7641.0,2682.5,41.5,1635.75,325.75,732.0,7032.75,2744.75,332.0,128.5,1370.25,2863.25,222.0,3534.0,2663.25,1349.0,2202.75,26188.0,13.0,4915.0,3061.25,316.5,415.25,2440.25,336.25,135.0,666.75,705.25,3191.75,814.0,7080.5,968.25,281.75,851.75,407.5,796.5,418.25,9440.0
