,"""Weird_Al""_Yankovic_en.wikipedia.org_desktop_all-agents",100_metres_en.wikipedia.org_desktop_all-agents,10_Gigabit_Ethernet_en.wikipedia.org_desktop_all-agents,1551_en.wikipedia.org_desktop_all-agents,1896_Summer_Olympics_en.wikipedia.org_desktop_all-agents,1918_flu_pandemic_en.wikipedia.org_desktop_all-agents,1936_Summer_Olympics_en.wikipedia.org_desktop_all-agents,1976_Summer_Olympics_en.wikipedia.org_desktop_all-agents,1980_Summer_Olympics_en.wikipedia.org_desktop_all-agents,1984_Summer_Olympics_en.wikipedia.org_desktop_all-agents,1989_(Taylor_Swift_album)_en.wikipedia.org_desktop_all-agents,1999_(Prince_album)_en.wikipedia.org_desktop_all-agents,2000_Summer_Olympics_en.wikipedia.org_desktop_all-agents,2002_FIFA_World_Cup_en.wikipedia.org_desktop_all-agents,2003_invasion_of_Iraq_en.wikipedia.org_desktop_all-agents,2007_tuberculosis_scare_en.wikipedia.org_desktop_all-agents,2008_Summer_Olympics_en.wikipedia.org_desktop_all-agents,2008_Summer_Olympics_medal_table_en.wikipedia.org_desktop_all-agents,2012_Benghazi_attack_en.wikipedia.org_desktop_all-agents,2012_Summer_Olympics_en.wikipedia.org_desktop_all-agents,2012_Summer_Olympics_medal_table_en.wikipedia.org_desktop_all-agents,2014_FIFA_World_Cup_en.wikipedia.org_desktop_all-agents,2015_NCAA_Men's_Division_I_Basketball_Tournament_en.wikipedia.org_desktop_all-agents,2015_in_film_en.wikipedia.org_desktop_all-agents,2016_Asia_Cup_en.wikipedia.org_desktop_all-agents,2016_Democratic_National_Convention_en.wikipedia.org_desktop_all-agents,2016_European_Men's_Handball_Championship_en.wikipedia.org_desktop_all-agents,2016_FIFA_Club_World_Cup_en.wikipedia.org_desktop_all-agents,2016_FIFA_Futsal_World_Cup_en.wikipedia.org_desktop_all-agents,2016_Giro_d'Italia_en.wikipedia.org_desktop_all-agents,2016_ICC_World_Twenty20_en.wikipedia.org_desktop_all-agents,2016_IIHF_World_Championship_en.wikipedia.org_desktop_all-agents,2016_Indian_Premier_League_en.wikipedia.org_desktop_all-agents,2016_NBA_All-Star_Game_en.wikipedia.org_desktop_all-agents,2016_NFL_Draft_en.wikipedia.org_desktop_all-agents,2016_NHL_Entry_Draft_en.wikipedia.org_desktop_all-agents,2016_Republican_National_Convention_en.wikipedia.org_desktop_all-agents,2016_Summer_Olympics_closing_ceremony_en.wikipedia.org_desktop_all-agents,2016_Summer_Olympics_medal_table_en.wikipedia.org_desktop_all-agents,2016_Summer_Olympics_opening_ceremony_en.wikipedia.org_desktop_all-agents,2016_Summer_Paralympics_en.wikipedia.org_desktop_all-agents,2016_Thomas_&_Uber_Cup_en.wikipedia.org_desktop_all-agents,2016_Tour_de_France_en.wikipedia.org_desktop_all-agents,2016_UEFA_Europa_League_Final_en.wikipedia.org_desktop_all-agents,2016_United_States_men's_Olympic_basketball_team_en.wikipedia.org_desktop_all-agents,2016_World_Cup_of_Hockey_en.wikipedia.org_desktop_all-agents,2017_FIFA_Confederations_Cup_en.wikipedia.org_desktop_all-agents,2017_NBA_All-Star_Game_en.wikipedia.org_desktop_all-agents,2018_FIFA_World_Cup_qualification_en.wikipedia.org_desktop_all-agents,2018_FIFA_World_Cup_qualification_(CONMEBOL)_en.wikipedia.org_desktop_all-agents,2018_FIFA_World_Cup_qualification_(UEFA)_en.wikipedia.org_desktop_all-agents,2018_Winter_Olympics_en.wikipedia.org_desktop_all-agents,2020_Summer_Olympics_en.wikipedia.org_desktop_all-agents,2022_Winter_Olympics_en.wikipedia.org_desktop_all-agents,2024_Summer_Olympics_en.wikipedia.org_desktop_all-agents,2028_Summer_Olympics_en.wikipedia.org_desktop_all-agents,3_Doors_Down_en.wikipedia.org_desktop_all-agents,4K_resolution_en.wikipedia.org_desktop_all-agents,58th_Annual_Grammy_Awards_en.wikipedia.org_desktop_all-agents,88th_Academy_Awards_en.wikipedia.org_desktop_all-agents,A.C._Milan_en.wikipedia.org_desktop_all-agents,A.J._Styles_en.wikipedia.org_desktop_all-agents,AC/DC_en.wikipedia.org_desktop_all-agents,AK-47_en.wikipedia.org_desktop_all-agents,AMGTV_en.wikipedia.org_desktop_all-agents,AR-15_en.wikipedia.org_desktop_all-agents,A_Monster_Calls_(film)_en.wikipedia.org_desktop_all-agents,A_Series_of_Unfortunate_Events_en.wikipedia.org_desktop_all-agents,A_Song_of_Ice_and_Fire_en.wikipedia.org_desktop_all-agents,Aamir_Khan_en.wikipedia.org_desktop_all-agents,Aaron_Lewis_en.wikipedia.org_desktop_all-agents,Aberfan_disaster_en.wikipedia.org_desktop_all-agents,Academy_Award_for_Best_Actor_en.wikipedia.org_desktop_all-agents,Academy_Award_for_Best_Picture_en.wikipedia.org_desktop_all-agents,Adam_Johnson_(footballer)_en.wikipedia.org_desktop_all-agents,Adam_Levine_en.wikipedia.org_desktop_all-agents,Adele_en.wikipedia.org_desktop_all-agents,Adewale_Akinnuoye-Agbaje_en.wikipedia.org_desktop_all-agents,Adobe_Photoshop_en.wikipedia.org_desktop_all-agents,Adolf_Hitler_en.wikipedia.org_desktop_all-agents,Agent_Carter_(season_2)_en.wikipedia.org_desktop_all-agents,Agents_of_S.H.I.E.L.D._en.wikipedia.org_desktop_all-agents,Agile_software_development_en.wikipedia.org_desktop_all-agents,Ahrar_ash-Sham_en.wikipedia.org_desktop_all-agents,Airlift_(film)_en.wikipedia.org_desktop_all-agents,Akshay_Kumar_en.wikipedia.org_desktop_all-agents,Aladdin_Sane_en.wikipedia.org_desktop_all-agents,Alan_Colmes_en.wikipedia.org_desktop_all-agents,Alan_Thicke_en.wikipedia.org_desktop_all-agents,Alan_Tudyk_en.wikipedia.org_desktop_all-agents,Alaska_en.wikipedia.org_desktop_all-agents,"Albert,_Prince_Consort_en.wikipedia.org_desktop_all-agents",Albert_Einstein_en.wikipedia.org_desktop_all-agents,Albus_Dumbledore_en.wikipedia.org_desktop_all-agents,Alex_(parrot)_en.wikipedia.org_desktop_all-agents,Alex_Jones_(radio_host)_en.wikipedia.org_desktop_all-agents,Alexander_I_of_Russia_en.wikipedia.org_desktop_all-agents,Alexandre_Pato_en.wikipedia.org_desktop_all-agents,Alexis_Arquette_en.wikipedia.org_desktop_all-agents,Alexis_Ohanian_en.wikipedia.org_desktop_all-agents
0,2403.0,982.0,1078.0,11.0,366.0,868.0,714.0,511.0,414,594.0,4768.0,249.0,691,2521.0,1153.0,31.0,932.0,155.0,1683.0,2352,819.0,7798.0,353.0,28511,90.0,508.0,119.0,507.0,198.0,25.0,1010,121.0,45.0,234.0,6.0,1537.0,409.0,29.0,5.0,108.0,142.0,11.0,197,294.0,109.0,63.0,2468.0,60.0,2530.0,561.0,613.0,903.0,1931.0,903.0,1734.0,636.0,701.0,3413.0,10.0,235.0,6031.0,897.0,8511.0,3402.0,40,1753.0,346.0,912.0,9554.0,2558.0,386.0,128.0,1450.0,3077.0,200.0,3742.0,2864.0,1536.0,2513.0,11684.0,26.0,5698.0,5718,279.0,452.0,2536.0,369.0,163.0,657.0,857.0,4590.0,933.0,8398.0,871.0,299.0,1383.0,596.0,1111.0,616.0,253.0
1,2126.5,881.0,1116.0,9.0,392.0,877.0,616.0,648.0,430,518.0,4346.0,297.0,622,2240.0,1055.0,28.5,925.0,152.0,1026.0,2396,771.0,6562.0,312.0,27969,78.0,562.0,97.0,392.0,333.0,16.0,950,80.0,49.0,220.0,14.0,1149.0,371.0,29.0,6.0,106.0,102.0,5.0,190,232.0,96.0,39.0,1478.0,69.0,2094.0,362.0,531.0,764.0,1592.0,826.0,1387.0,366.0,759.0,3191.0,8.0,328.0,6211.666666666667,1219.0,9632.0,2975.0,55,1603.0,337.0,855.0,9147.0,2649.0,364.0,135.0,1380.0,3157.0,189.0,3667.0,2914.0,1466.0,2535.0,9328.0,14.0,5549.0,5235,373.0,412.0,2482.0,349.0,170.0,884.0,877.0,3545.0,902.0,8600.0,830.0,288.0,966.0,532.0,836.0,468.0,288.0
2,1850.0,794.0,869.0,19.0,322.0,688.0,506.0,431.0,368,441.0,4251.0,233.0,490,1832.0,987.0,26.0,877.0,142.0,875.0,2094,658.0,4748.0,213.0,27097,98.0,464.0,80.0,368.0,207.0,31.0,923,77.0,33.0,172.0,7.0,526.0,278.0,20.0,7.0,94.0,133.0,15.0,237,143.0,76.0,59.0,1433.0,68.0,1843.0,323.0,502.0,554.0,1273.0,680.0,1174.0,352.0,698.0,2955.0,13.0,231.0,6392.333333333333,1017.0,8157.0,2805.0,42,1736.0,339.0,761.0,7235.0,2806.0,333.0,130.0,1356.0,2726.0,234.0,3572.0,2695.0,1399.0,2318.0,28453.0,16.0,4926.0,3509,321.0,407.0,2443.0,328.0,118.0,738.0,710.0,3294.0,788.0,7474.0,896.0,282.0,865.0,407.0,846.0,416.0,2980.0
3,1432.0,979.0,327.0,26.0,313.0,623.0,504.0,387.0,365,425.0,3815.0,224.0,514,1867.0,880.0,9.0,720.0,129.0,745.0,1691,707.0,5789.0,302.0,25657,78.0,361.0,105.0,297.0,148.0,41.0,856,71.0,57.0,167.0,5.0,394.0,268.0,25.0,8.0,99.0,92.0,12.0,521,101.0,95.0,77.0,3612.0,61.0,2241.0,596.0,565.0,576.0,1422.0,629.0,1116.0,373.0,653.0,2321.0,22.0,275.0,6573.0,1084.0,6093.0,2315.0,40,1335.0,286.0,645.0,6426.0,2561.0,329.0,124.0,1413.0,3275.0,186.0,3420.0,2568.0,1199.0,1857.0,19393.0,4.0,4882.0,1718,303.0,440.0,2432.0,361.0,186.0,453.0,691.0,2885.0,892.0,5900.0,1185.0,281.0,812.0,409.0,648.0,425.0,2707.5
4,1351.0,1191.0,312.0,16.0,340.0,604.0,579.0,386.0,411,409.0,3970.0,215.0,564,2441.0,885.0,21.0,826.0,118.0,1039.0,2213,631.0,8394.0,215.0,28155,50.0,332.0,107.0,471.0,155.0,44.0,860,58.0,49.0,195.0,11.0,278.0,255.0,27.0,5.0,64.0,99.0,11.0,521,98.0,101.0,59.0,7165.0,57.0,2591.0,711.0,690.0,677.0,1797.0,853.0,1295.0,451.0,604.0,2435.0,6.0,314.0,5398.0,1402.0,6493.0,2661.0,29,1399.0,427.0,2543.0,7307.0,2631.0,305.0,115.0,1507.0,3379.0,167.0,3475.0,2959.0,1251.0,1754.0,7502.0,19.0,5538.0,2149,265.0,481.0,2588.0,331.0,133.0,547.0,687.0,3180.0,940.0,6835.0,878.0,297.0,863.0,541.0,719.0,585.0,2435.0
5,1792.0,1057.0,1123.0,24.5,447.0,823.0,695.0,535.0,504,631.0,4283.0,264.0,837,3151.0,1100.0,17.0,1268.0,157.0,1213.0,3592,871.0,12192.0,275.0,34236,96.0,483.0,100.0,789.0,258.0,46.0,1245,128.0,52.0,256.0,8.0,472.0,374.0,40.0,7.0,114.0,120.0,13.0,666,129.0,171.0,76.0,4534.0,45.0,3496.0,715.0,805.0,1330.0,3013.0,1496.0,2402.0,713.0,756.0,3516.0,7.0,318.0,7689.0,1357.0,7740.0,4156.0,62,1676.0,388.0,3904.125,9832.0,2803.0,409.0,173.0,1885.0,4471.0,208.0,3527.0,3631.0,1668.0,2297.0,9482.0,18.0,6499.0,5703,237.0,555.0,2859.0,425.0,140.0,536.0,840.0,3804.0,1078.0,8387.0,955.0,260.0,1104.0,541.0,729.0,555.0,2999.0
6,1710.0,1184.0,1124.0,33.0,484.0,794.0,751.0,532.0,483,668.0,4226.0,259.0,737,2293.0,1346.0,20.0,1091.0,145.0,1097.0,3125,785.0,7554.0,357.0,29132,87.0,553.0,83.0,557.0,157.0,51.0,1259,113.0,65.0,309.0,19.0,444.0,342.0,24.0,6.0,114.0,187.0,14.0,589,146.0,111.0,92.0,3274.0,104.0,2881.0,574.0,747.0,909.0,1996.0,1078.0,1792.0,572.0,752.0,3698.0,14.0,301.0,7146.0,1060.0,7051.0,3582.0,94,1576.0,385.0,3633.0625,9219.0,2960.0,391.0,261.0,1721.0,4300.0,196.0,4413.0,3569.0,1234.0,2363.0,9304.0,22.0,5890.0,6100,236.0,549.0,2712.0,435.0,126.0,532.0,832.0,3907.0,982.0,8062.0,1078.0,359.0,1522.0,633.0,1246.0,556.0,2494.0
7,2039.0,860.0,1149.0,27.0,375.0,897.0,723.0,552.0,585,796.0,4399.0,215.0,727,2164.0,1115.0,20.666666666666668,974.0,142.0,1343.0,2528,1020.0,9155.0,314.0,27034,125.0,622.0,83.0,471.0,187.0,39.0,1324,108.0,69.0,261.0,11.0,321.0,401.0,23.0,5.0,97.0,139.0,6.0,564,133.0,104.0,45.0,4135.0,114.0,2930.0,479.0,652.0,893.0,2039.0,1074.0,2172.0,634.0,753.0,3708.0,9.0,315.0,6508.0,938.0,6092.0,2666.0,44,1534.0,370.0,3362.0,8204.0,2867.0,554.0,203.0,1707.0,3593.0,252.0,3788.0,3176.0,1157.0,2508.0,9245.0,19.0,5911.0,5873,295.0,464.0,2626.0,379.0,253.0,492.0,863.0,3906.0,861.0,8777.0,882.0,287.0,1290.0,686.0,987.0,570.0,1195.0
8,1957.0,1259.0,1128.0,17.0,402.0,747.0,743.0,554.0,477,588.0,6294.0,234.0,710,1984.0,1046.0,21.333333333333332,968.0,154.0,1312.0,2355,757.0,6736.0,262.0,27542,70.0,727.0,91.0,389.0,204.0,37.0,2222,106.0,105.0,285.0,10.0,306.0,447.0,28.0,4.0,109.0,142.0,8.0,504,192.0,107.0,36.0,2183.0,103.0,5831.0,683.0,4206.0,781.0,1900.0,940.0,1589.0,495.0,674.0,3619.0,9.0,347.0,5849.0,1004.0,6582.0,2524.0,60,1470.0,395.0,3542.0,7920.0,2859.0,495.0,149.0,1562.0,3526.0,223.0,4724.0,3450.0,1216.0,2328.0,9036.0,15.0,5608.0,5924,385.0,527.0,2686.0,427.0,183.0,573.0,1048.0,3583.0,1150.0,7745.0,949.0,318.0,1305.0,595.0,918.0,525.0,918.0
9,1640.0,1257.0,1003.0,37.0,379.0,659.0,641.0,571.0,518,653.0,4681.0,199.0,667,1753.0,1018.0,22.0,950.0,145.0,937.0,2471,847.0,5539.0,275.0,27525,77.0,472.0,92.0,388.0,210.0,37.0,1978,77.0,68.0,252.0,10.0,252.0,419.0,37.0,13.0,89.0,152.0,21.0,456,169.0,102.0,53.0,1938.0,92.0,3441.0,494.0,1843.0,772.0,1945.0,877.0,1674.0,468.0,695.0,3401.0,17.0,271.0,5643.0,822.0,7072.0,2408.0,53,1458.0,399.0,2736.0,6717.0,2745.0,464.0,126.0,1583.0,3375.0,256.0,3981.0,3280.0,1256.0,2044.0,9467.0,11.0,5267.0,4863,179.0,577.0,2464.0,406.0,138.0,469.0,2201.0,3584.0,981.0,6913.0,1121.0,307.0,1109.0,479.0,1629.0,499.0,1998.25
