,"""Weird_Al""_Yankovic_en.wikipedia.org_desktop_all-agents",1918_flu_pandemic_en.wikipedia.org_desktop_all-agents,1989_(Taylor_Swift_album)_en.wikipedia.org_desktop_all-agents,2002_FIFA_World_Cup_en.wikipedia.org_desktop_all-agents,2003_invasion_of_Iraq_en.wikipedia.org_desktop_all-agents,2008_Summer_Olympics_en.wikipedia.org_desktop_all-agents,2012_Summer_Olympics_en.wikipedia.org_desktop_all-agents,2012_Summer_Olympics_medal_table_en.wikipedia.org_desktop_all-agents,2015_in_film_en.wikipedia.org_desktop_all-agents,2016_Democratic_National_Convention_en.wikipedia.org_desktop_all-agents
0,2403.0,868.0,4768.0,2521.0,1153.0,932.0,2352.0,819.0,28511.0,508.0
1,20136.0,877.0,4346.0,2240.0,1055.0,925.0,2396.0,771.0,27969.0,562.0
2,1850.0,688.0,4251.0,1832.0,987.0,877.0,2094.0,658.0,27097.0,464.0
3,1432.0,623.0,3815.0,1867.0,880.0,720.0,1691.0,707.0,25657.0,361.0
4,1351.0,604.0,3970.0,2441.0,885.0,826.0,2213.0,631.0,28155.0,332.0
5,1792.0,823.0,4283.0,3151.0,1100.0,1268.0,3592.0,871.0,34236.0,483.0
6,1710.0,794.0,4226.0,2293.0,1346.0,1091.0,3125.0,785.0,29132.0,553.0
7,2039.0,897.0,4399.0,2164.0,1115.0,974.0,2528.0,1020.0,27034.0,622.0
8,1957.0,747.0,6294.0,1984.0,1046.0,968.0,2355.0,757.0,27542.0,727.0
9,1640.0,659.0,4681.0,1753.0,1018.0,950.0,2471.0,847.0,27525.0,472.0
10,1263.0,611.0,3855.0,1496.0,901.0,909.0,2083.0,847.0,27064.0,269.0
11,1373.0,696.0,4121.0,1490.0,931.0,1096.0,2398.0,870.0,28575.0,372.0
12,1625.0,896.0,4280.0,1625.0,1120.0,1126.0,2619.0,1261.0,31674.0,602.0
13,1600.0,890.0,4380.0,1577.0,1141.0,963.0,2511.0,1127.0,27232.0,516.0
14,1655.0,810.0,4271.0,1548.0,1195.0,961.0,2376.0,1137.0,26510.0,456.0
15,1733.0,817.0,3860.0,1596.0,1151.0,1059.0,2912.0,1087.0,26597.0,479.0
16,1550.0,687.0,3710.0,1453.0,1093.0,1058.0,2308.0,997.0,27803.0,425.0
17,1365.0,632.0,3594.0,1159.0,1036.0,1000.0,1983.0,943.0,26068.0,350.0
18,1526.0,627.0,3606.0,1282.0,1039.0,942.0,1944.0,1046.0,27989.0,407.0
19,1921.0,866.0,4092.0,1396.0,1227.0,1084.0,2192.0,1065.0,31330.0,556.0
20,1925.0,863.0,4237.0,1441.0,1212.0,1605.0,2161.0,1060.0,27267.0,760.0
21,1977.0,909.0,4710.0,1366.0,1228.0,1123.0,2370.0,1002.0,27613.0,616.0
22,1641.0,847.0,4620.0,1820.0,1284.0,1076.0,2218.0,939.0,29470.0,572.0
23,1783.0,778.0,3987.0,1424.0,1143.0,1294.0,2871.0,1086.0,30674.0,517.0
